,企業名,キャッチコピー,ステータス,初年度年収
24,東京計器株式会社 | 【東証プライム上場】船舶湾港機器事業で世界トップクラスシェア,世界屈指の技術力を手に★船用機器の【電気設計】年間休日126日 正社員,正社員,
25,株式会社野村総合研究所 | （NRI）東証プライム上場★海外研修など豊富な研修制度あり,【システムエンジニア(インフラ/ミドル/アプリ開発)】※福岡募集 正社員,正社員,
26,三井不動産商業マネジメント株式会社 | 【三井不動産グループ】★完全週休2日制★年間休日121日,総合職（「ららぽーと」など有名商業施設の企画・運営・管理） 正社員,正社員,
27,アクセンチュア株式会社 | 完全週休2日制(土日祝)で年間休日120日以上／充実の福利厚生アリ,福岡募集★未経験者も歓迎【 プロジェクト管理（PMO）】 正社員,正社員,400万円～1000万円
28,東京計器株式会社 | 【東証プライム上場】船舶湾港機器事業で世界トップクラスシェア,世界規模の市場で活躍★船用機器の【ソフト設計】年間休日126日 正社員,正社員,
29,株式会社やる気スイッチグループ | 19期連続増収★実働7.25ｈ★年休120★大阪府緊急雇用対策に賛同,スクールIE/WinBe【教室長】人生のスイッチが入る瞬間をあなたも 正社員,正社員,360万円～600万円
30,ネイチャーインサイト株式会社 | 土日祝休み・年休123日・転居/奨学金返済支援など福利厚生も充実,SASを扱う日本有数の希少人材が目指せる！【プログラマー】 正社員,正社員,
31,アクセンチュア株式会社 | 世界最大級の総合コンサルティング／ITサービス企業,【ITコンサルタント】※第二新卒/未経験者歓迎/関西も積極採用中 正社員,正社員,
32,ネイチャーインサイト株式会社 | 土日祝休み・年休123日・転居/奨学金返済支援など福利厚生も充実,未経験歓迎！業界でもレアな人材へ！【ITエンジニア】 正社員,正社員,
33,ダイレックス株式会社 | 【東証プライムグループ】#20種類以上の福利厚生あり #手当充実,【店舗スタッフ】★賞与年4.6ヶ月分 ★月8～9日休み ★未経験OK 正社員,正社員,300万円～400万円
34,医療法人湘美会 | 湘南美容クリニック*賞与年2回＋短期業績手当年4回*,【受付カウンセラー】*未経験歓迎*大卒月給26万円／残業ほぼなし 正社員,正社員,300万円～500万円
35,株式会社ボードルア | ★グロース上場企業★残業ほぼなし★完全週休2日(年休125日以上),経験ゼロから始めるオフィスワーク♪【IT事務】★100％未経験 正社員,正社員,300万円～700万円
36,"株式会社マミー・インターナショナル | 全国出張面接どこへでも会いに行きます♪家賃補助最大82,000円！",【保育士】東京・千葉・神奈川にて保育園を10園運営しています♪ 正社員,正社員,300万円～400万円
37,株式会社サザビーリーグ | アイビーカンパニー／Shake Shack、KIHACHI等を展開／ＷEB面接OK,Afternoon Teaの【カフェスタッフ】★月9日休み ★深夜営業なし 正社員,正社員,
38,株式会社ライフコーポレーション | プライム上場／賞与平均4.10ヶ月分【大阪府緊急雇用対策に賛同】,ライフの【総合職】★20～30代の若手が多数活躍中 ★地域別採用 正社員,正社員,300万円～400万円
